,Subtype
AY010359,C
AY010365,C
AY010759,B
AY010804,B
AY010852,B
AY011029,B
AY011053,B
AY011081,B
AY011105,B
AY017422,C
AY017433,B
AY017434,B
AY017435,B
AY017436,B
AY017437,B
AY017438,B
AY017439,B
AY017440,B
AY017441,B
AY017447,B
AY017448,B
AY017449,B
AY037268,B
AY037269,B
AY037270,B
AY037282,B
AY039750,C
AY043176,C
AY043183,C
AY043185,C
AY043186,C
AY043187,C
AY043188,C
AY043189,C
AY043190,C
AY049009,C
AY049010,C
AY049708,C
AY051410,B
AY062246,B
AY062247,B
AY064238,C
AY064239,C
AY064240,C
AY064241,C
AY064242,C
AY064243,C
AY064244,C
AY071954,B
AY071955,B
AY071956,C
AY071958,C
AY071959,C
AY071960,C
AY071961,C
AY071962,C
AY071966,B
AY075714,B
AY075785,B
AY075851,B
AY076026,B
AY076231,B
AY076444,B
AY076573,B
AY076752,B
AY076821,B
AY077010,B
AY077182,B
AY077252,B
AY077332,B
AY077385,B
AY077490,B
AY077491,B
AY077492,B
AY077493,B
AY077494,B
AY077495,B
AY077496,B
AY077497,B
AY077498,B
AY077499,B
AY077500,B
AY077501,B
AY077502,B
AY077503,B
AY077504,B
AY077505,B
AY077506,B
AY077507,B
AY077508,B
AY077509,B
AY077510,B
AY077511,B
AY077512,B
AY077513,B
AY077514,B
AY077515,B
AY077516,B
AY077517,B
AY077518,B
AY077519,B
AY077520,B
AY077521,B
AY077522,B
AY077523,B
AY077524,B
AY077525,B
AY077526,B
AY077527,B
AY077528,B
AY077529,B
AY077530,B
AY077531,B
AY077532,B
AY077533,B
AY077534,B
AY077535,B
AY077536,B
AY077537,B
AY077538,B
AY077539,B
AY077540,B
AY077541,B
AY077542,B
AY077543,B
AY077544,B
AY077545,B
AY077546,B
AY077547,B
AY077548,B
AY077549,B
AY077550,B
AY077551,B
AY077552,B
AY077553,B
AY077554,B
AY077555,B
AY077556,B
AY077557,B
AY077558,B
AY077559,B
AY077560,B
AY077561,B
AY077562,B
AY077563,B
AY077564,B
AY077565,B
AY077566,B
AY077567,B
AY077568,B
AY077569,B
AY077570,B
AY077571,B
AY077572,B
AY077573,B
AY077574,B
AY077575,B
AY077576,B
AY077577,B
AY077578,B
AY081964,B
AY081965,B
AY081966,B
AY081968,B
AY083246,B
AY083248,B
AY083251,B
AY083252,B
AY083253,B
AY083254,B
AY083255,B
AY083256,B
AY083259,B
AY083264,B
AY090772,B
AY090773,B
AY090774,B
AY090775,C
AY090815,C
AY090816,C
AY090819,C
AY090820,C
AY090821,C
AY098596,B
AY098597,B
AY098598,B
AY098599,B
AY098600,B
AY098601,B
AY098602,B
AY098603,B
AY098604,B
AY098605,B
AY098606,B
AY098607,B
AY098608,B
AY115020,B
AY115059,B
AY116024,C
AY116029,C
AY116032,C
AY116037,C
AY116039,C
AY116040,C
AY116042,C
AY116045,C
AY116047,C
AY116052,C
AY116057,C
AY116058,C
AY116060,C
AY116062,C
AY116068,C
AY116069,C
AY116070,C
AY116071,C
AY118165,C
AY118166,C
AY120396,B
AY120433,B
AY120471,B
AY120492,B
AY120528,B
AY123262,C
AY123275,C
AY123278,C
AY123858,C
AY123859,C
AY123873,C
AY123877,C
AY123880,C
AY123881,C
AY123882,C
AY123885,C
AY123892,C
AY124970,B
AY124973,B
AY124976,B
AY124980,B
AY127031,C
AY128258,C
AY128259,C
AY128260,C
AY128261,C
AY128262,C
AY128263,C
AY128264,C
AY128265,C
AY128266,C
AY128269,C
AY128270,C
AY128271,C
AY128272,C
AY135934,C
AY135949,C
AY135970,C
AY135983,C
AY136014,C
AY136024,C
AY136041,C
AY136050,C
AY137009,C
AY137010,C
AY137011,C
AY137012,C
AY137013,C
AY137014,C
AY137015,C
AY137016,C
AY137017,C
AY137018,C
AY137019,C
AY137020,C
AY137021,C
AY137022,C
AY137023,C
AY137024,C
AY137025,C
AY137026,C
AY137027,C
AY137028,C
AY137029,C
AY137030,C
AY137031,C
AY137032,C
AY137033,C
AY137034,C
AY137035,C
AY137036,C
AY137037,C
AY137038,C
AY137039,C
AY137040,C
AY137041,C
AY137042,C
AY137043,C
AY137044,C
AY137045,C
AY137046,C
AY137047,C
AY137048,C
AY137049,C
AY137050,C
AY137051,C
AY137052,C
AY137053,C
AY137054,C
AY137055,C
AY137056,C
AY137057,C
AY137058,C
AY137059,C
AY137060,C
AY137061,C
AY137062,C
AY137063,C
AY137064,C
AY137065,C
AY137066,C
AY137067,C
AY137068,C
AY137069,C
AY137070,C
AY137071,C
AY137072,C
AY137073,C
AY139268,B
AY139269,B
AY139270,B
AY139271,B
AY139272,B
AY139273,B
AY139274,B
AY139275,B
AY139276,B
AY139277,B
AY139278,B
AY139279,B
AY139280,B
AY139281,B
AY139282,B
AY139283,B
AY139284,B
AY139285,B
AY139286,B
AY139287,B
AY139288,B
AY139289,B
AY139290,B
AY139291,B
AY139292,B
AY139293,B
AY139294,B
AY139295,B
AY139296,B
AY139297,B
AY139298,B
AY139299,B
AY139300,B
AY139301,B
AY139302,B
AY139303,B
AY139304,B
AY139305,B
AY139306,B
AY139307,B
AY139308,B
AY139309,B
AY139310,B
AY139311,B
AY139312,B
AY139313,B
AY139314,B
AY139315,B
AY139316,B
AY139317,B
AY139318,B
AY139319,B
AY139320,B
AY139321,B
AY139322,B
AY139323,B
AY139324,B
AY139325,B
AY139326,B
AY139327,B
AY139328,B
AY139329,B
AY139330,B
AY139331,B
AY139332,B
AY139333,B
AY139334,B
AY139335,B
AY139336,B
AY139337,B
AY139338,B
AY139339,B
AY139340,B
AY139341,B
AY139342,B
AY139343,B
AY139344,B
AY139345,B
AY139346,B
AY139347,B
AY139348,B
AY139349,B
AY139350,B
AY139351,B
AY139352,B
AY139353,B
AY139354,B
AY139355,B
AY139356,B
AY139357,B
AY139358,B
AY139359,B
AY139360,B
AY139361,B
AY139362,B
AY139363,B
AY139364,B
AY139365,B
AY139366,B
AY139367,B
AY139368,B
AY139369,B
AY139370,B
AY139371,B
AY139372,B
AY139373,B
AY139374,B
AY139375,B
AY139376,B
AY139377,B
AY139378,B
AY139379,B
AY139380,B
AY139381,B
AY139382,B
AY139383,B
AY139384,B
AY139385,B
AY139386,B
AY139387,B
AY139388,B
AY139696,B
AY139731,B
AY140600,C
AY140832,B
AY140836,C
AY140840,B
AY140844,B
AY146085,C
AY146086,C
AY146087,C
AY146088,C
AY146089,C
AY146090,C
AY146091,C
AY146092,C
AY146093,C
AY146094,C
AY146095,C
AY146096,C
AY146097,C
AY146098,C
AY146099,C
AY146100,C
AY146101,C
AY146102,C
AY146103,C
AY146104,C
AY146105,C
AY146106,C
AY146107,C
AY146108,C
AY146109,C
AY146110,C
AY146111,C
AY146112,C
AY146113,C
AY146114,C
AY146115,C
AY146116,C
AY146117,C
AY146118,C
AY146119,C
AY146120,C
AY146121,C
AY146122,C
AY146123,C
AY146124,C
AY146125,C
AY146126,C
AY146127,C
AY146128,C
AY146129,C
AY146130,C
AY146131,C
AY146132,C
AY146133,C
AY146134,C
AY146135,C
AY146136,C
AY146137,C
AY146138,C
AY146139,C
AY146140,C
AY146141,C
AY146142,C
AY146143,C
AY146144,C
AY146145,C
AY146146,C
AY146147,C
AY146148,C
AY146149,C
AY146150,C
AY146151,C
AY146152,C
AY146153,C
AY146154,C
AY146155,C
AY146156,C
AY146157,C
AY146158,C
AY146159,C
AY146160,C
AY146161,C
AY146162,C
AY146163,C
AY146164,C
AY146165,C
AY146166,C
AY146167,C
AY146168,C
AY146169,C
AY146170,C
AY146171,C
AY146172,C
AY146173,C
AY146174,C
AY146175,C
AY146176,C
AY146177,C
AY146178,C
AY146179,C
AY146180,C
AY146181,C
AY146182,C
AY146183,C
AY146184,C
AY146185,C
AY146186,C
AY146187,C
AY146188,C
AY146189,C
AY146190,C
AY146191,C
AY146192,C
AY146193,C
AY146195,C
AY146196,C
AY146197,C
AY146198,C
AY146199,C
AY146200,C
AY146201,C
AY146202,C
AY146203,C
AY146204,C
AY146205,C
AY146206,C
AY146207,C
AY146208,C
AY146209,C
AY146210,C
AY146211,C
AY146212,C
AY146213,C
AY146214,C
AY156744,B
AY156745,B
AY156747,B
AY156748,B
AY156749,B
AY156750,B
AY156751,B
AY156752,B
AY156753,B
AY156754,B
AY156755,B
AY156756,B
AY156757,B
AY156758,B
AY156759,B
AY156760,B
AY156761,B
AY156762,B
AY156763,B
AY156766,B
AY156768,B
AY156770,B
AY156796,B
AY158533,C
AY158534,C
AY158535,C
AY161869,B
AY161870,B
AY161872,B
AY161875,B
AY161877,B
AY162474,B
AY162697,B
AY162798,B
AY166882,C
AY170657,C
AY170658,C
AY170659,C
AY170660,C
AY170661,C
AY170662,C
AY170663,C
AY170664,C
AY170665,C
AY170666,C
AY170667,C
AY171474,B
AY171493,B
AY171515,B
AY171538,B
AY173951,B
AY173952,B
AY173954,B
AY173955,B
AY173959,B
AY173960,B
AY177894,B
AY177895,B
AY177896,B
AY177898,B
AY177899,B
AY177900,B
AY177901,B
AY177902,B
AY177903,B
AY177904,B
AY177905,B
AY177907,B
AY177908,B
AY177909,B
AY177910,B
AY177911,B
AY177912,B
AY177913,B
AY180905,B
AY188570,B
AY188576,B
AY189526,B
AY191857,B
AY191858,B
AY191859,B
AY191860,B
AY191861,B
AY196496,C
AY196497,C
AY203964,B
AY203965,B
AY203966,B
AY203967,B
AY203969,C
AY203970,B
AY203971,B
AY203972,B
AY203974,B
AY203975,B
AY203976,B
AY203977,B
AY203978,B
AY204254,C
AY208967,C
AY208968,C
AY209177,B
AY209178,B
AY209192,C
AY209193,C
AY209194,C
AY215067,C
AY217546,C
AY223743,B
AY223761,B
AY226561,C
AY228556,C
AY228557,C
AY230878,C
AY230879,C
AY230880,C
AY241755,B
AY247022,B
AY247218,B
AY247219,B
AY247220,B
AY247221,B
AY247222,B
AY247223,B
AY247224,B
AY247225,B
AY247251,B
AY249755,C
AY249756,C
AY249763,C
AY249778,B
AY249780,B
AY253303,C
AY253304,C
AY253307,C
AY253308,C
AY253310,C
AY253312,C
AY253313,C
AY253317,C
AY253320,C
AY253321,C
AY253322,C
AY253858,C
AY253859,C
AY253860,C
AY253861,C
AY253944,B
AY253950,B
AY253951,B
AY253953,B
AY253954,B
AY253955,B
AY253956,B
AY253957,B
AY253958,B
AY253959,B
AY253960,C
AY253962,B
AY253963,C
AY253964,B
AY253965,B
AY253966,B
AY253967,B
AY253969,B
AY253970,B
AY253971,B
AY253973,B
AY253974,B
AY253976,B
AY253977,C
AY253978,B
AY253979,B
AY253980,B
AY255823,C
AY255824,C
AY255825,C
AY255826,C
AY258514,B
AY258515,B
AY258516,B
AY258517,B
AY258518,B
AY258519,B
AY258520,B
AY258521,B
AY258522,B
AY258523,B
AY258524,B
AY258525,B
AY258526,B
AY258527,B
AY258528,B
AY258529,B
AY258530,B
AY258531,B
AY258532,B
AY258533,B
AY258534,B
AY258536,B
AY258537,B
AY258538,B
AY258539,B
AY258540,B
AY258541,B
AY258542,B
AY258543,B
AY258544,B
AY258545,B
AY258546,B
AY258547,B
AY258549,B
AY258550,B
AY258552,B
AY258553,B
AY258554,B
AY258555,B
AY258556,B
AY258557,B
AY258558,B
AY258559,B
AY258561,B
AY258562,B
AY258563,B
AY258564,B
AY258565,B
AY258566,B
AY258568,B
AY258569,B
AY258570,B
AY258571,B
AY258572,B
AY258573,B
AY258574,B
AY258575,B
AY258576,B
AY258577,B
AY258578,B
AY258579,B
AY258580,B
AY258581,B
AY258582,B
AY258583,B
AY258584,B
AY258585,B
AY258586,B
AY265929,C
AY265930,C
AY265932,C
AY265933,C
AY265934,C
AY265935,C
AY265936,C
AY265937,C
AY265938,C
AY265939,C
AY265940,C
AY265941,C
AY265942,C
AY265943,C
AY265944,C
AY265945,C
AY265946,C
AY265947,C
AY265948,C
AY265950,C
AY265951,C
AY265952,C
AY265953,C
AY265954,C
AY265955,C
AY265956,C
AY265957,C
AY265958,C
AY277806,B
AY277845,B
AY277867,B
AY283417,C
AY291005,B
AY291013,B
AY291014,B
AY291048,B
AY295200,B
AY295207,B
AY295213,B
AY295222,B
AY295227,B
AY295233,B
AY295239,B
AY295246,B
AY302761,B
AY302820,B
AY302873,B
AY302938,B
AY303005,B
AY303074,B
AY304391,B
AY304392,B
AY304393,B
AY304394,B
AY304395,B
AY308760,B
AY314044,B
AY314064,B
AY314085,B
AY314101,B
AY314115,B
AY316363,B
AY316372,B
AY316385,B
AY316404,B
AY316417,B
AY316425,B
AY316439,B
AY316453,B
AY316466,B
AY316482,B
AY316496,B
AY316508,B
AY322081,B
AY322089,B
AY331285,B
AY331287,B
AY331291,B
AY331292,B
AY331296,B
AY339795,C
AY339796,C
AY339797,C
AY339798,C
AY339800,C
AY339801,C
AY339802,C
AY339803,C
AY339804,C
AY339805,C
AY339808,B
AY339810,B
AY339811,B
AY339812,B
AY339813,B
AY339815,C
AY339816,C
AY339817,C
AY350339,B
AY350340,B
AY350341,B
AY350342,B
AY350343,B
AY350344,B
AY350345,B
AY350346,B
AY350347,B
AY350348,B
AY350349,B
AY350350,B
AY350351,B
AY350352,B
AY350353,B
AY350354,B
AY350355,B
AY350356,B
AY350357,B
AY350358,B
AY350359,B
AY350360,B
AY350361,B
AY350362,B
AY350363,B
AY350364,B
AY350365,B
AY350366,B
AY350367,B
AY350369,B
AY350370,B
AY350372,B
AY350373,B
AY350374,B
AY350376,B
AY350377,B
AY352275,B
AY357338,B
AY360862,B
AY360863,B
AY360864,B
AY360865,B
AY360866,B
AY360867,B
AY360868,B
AY360869,B
AY360870,B
AY360871,B
AY360872,B
AY360873,B
AY360874,B
AY360875,B
AY360876,B
AY360877,B
AY360878,B
AY360879,B
AY360880,B
AY360881,B
AY360882,B
AY360883,B
AY360884,B
AY360885,B
AY360886,B
AY360887,B
AY360888,B
AY360889,B
AY360890,B
AY360891,B
AY360892,B
AY360893,B
AY360894,B
AY360895,B
AY360896,B
AY360897,B
AY360898,B
AY360899,B
AY360900,B
AY360901,B
AY360902,B
AY360903,B
AY360904,B
AY360905,B
AY360906,B
AY360907,B
AY360908,B
AY360909,B
AY360910,B
AY364649,B
AY364671,B
AY364700,B
AY364747,B
AY364769,B
AY364817,B
AY366936,B
AY366937,B
AY366939,B
AY366940,B
AY366944,B
AY366945,B
AY366946,B
AY366948,B
AY366949,B
AY366951,B
AY366955,B
AY366956,B
AY366957,B
AY366958,B
AY366961,B
AY366964,B
AY366965,B
AY366966,B
AY366968,B
AY366970,B
AY366972,B
AY372222,C
AY375244,B
AY375245,B
AY375246,B
AY375247,B
AY375248,B
AY375249,B
AY375251,B
AY375253,B
AY375255,B
AY375257,B
AY375258,B
AY375259,B
AY375260,B
AY375568,B
AY375616,B
AY375663,B
AY375711,B
AY387832,B
AY389993,B
AY389994,B
AY397499,C
AY397507,C
AY423381,B
AY423929,C
AY423965,C
AY423981,C
AY423990,C
AY424034,C
AY424057,C
AY424073,C
AY424093,C
AY424125,C
AY424138,C
AY424151,C
AY424163,C
AY424176,C
AY424187,C
AY425172,C
AY425174,B
AY426125,B
AY427676,B
AY427677,B
AY427678,B
AY427679,B
AY427680,B
AY427681,B
AY427682,B
AY427683,B
AY427684,B
AY427685,B
AY427686,B
AY427687,B
AY427688,B
AY427689,B
AY427690,B
AY427691,B
AY427692,B
AY427693,B
AY427694,B
AY427695,B
AY427696,B
AY427697,B
AY427698,B
AY427699,B
AY427700,B
AY427701,B
AY427702,B
AY427703,B
AY427704,B
AY427705,B
AY427706,B
AY427707,B
AY427708,B
AY427709,B
AY427710,B
AY427711,B
AY427712,B
AY427713,B
AY427714,B
AY427715,B
AY427716,B
AY427717,B
AY427718,B
AY427719,B
AY427720,B
AY427721,B
AY427722,B
AY427723,B
AY427724,B
AY427725,B
AY427726,B
AY427727,B
AY427728,B
AY427729,B
AY427730,B
AY427731,B
AY427732,B
AY427733,B
AY427734,B
AY427735,B
AY427736,B
AY427737,B
AY427738,B
AY427739,B
AY427740,B
AY427741,B
AY427742,B
AY427743,B
AY428624,B
AY428627,B
AY444800,C
AY444801,C
AY445670,B
AY445714,B
AY445760,B
AY445790,B
AY449806,B
AY450056,B
AY451012,B
AY451023,B
AY451036,B
AY451046,B
AY451057,B
AY451069,B
AY456281,C
AY456284,C
AY456287,C
AY456295,C
AY456296,C
AY456299,C
AY456302,B
AY456913,B
AY456914,B
AY456915,B
AY456916,C
AY456917,C
AY456918,B
AY463217,C
AY463218,C
AY463219,C
AY463220,C
AY463221,C
AY463222,C
AY463223,C
AY463224,C
AY463225,C
AY463226,C
AY463227,C
AY463228,C
AY463229,C
AY463230,C
AY463231,C
AY463232,C
AY463233,C
AY463234,C
AY463235,C
AY463236,C
AY463237,C
AY483423,B
AY483503,B
AY483506,B
AY483551,B
AY484789,B
AY484791,B
AY484792,B
AY484793,B
AY484794,B
AY484795,B
AY484796,B
AY484797,B
AY484798,B
AY484799,B
AY484800,B
AY484801,B
AY484802,B
AY484803,B
AY484804,B
AY484805,B
AY484806,B
AY484807,B
AY484808,B
AY484809,B
AY491014,B
AY491017,B
AY491018,B
AY491019,B
AY491020,B
AY491021,B
AY491022,B
AY491025,C
AY491026,B
AY491027,B
AY491028,B
AY491029,B
AY491030,B
AY491032,B
AY491033,B
AY491034,B
AY491035,B
AY491036,B
AY491038,B
AY491039,B
AY491040,B
AY494971,C
AY497912,B
AY497931,B
AY498009,B
AY498169,B
AY498227,B
AY498287,B
AY498347,B
AY501005,B
AY501023,B
AY501043,B
AY501063,B
AY501081,B
AY501101,B
AY501121,B
AY501141,B
AY501160,B
AY501198,B
AY501217,B
AY501236,B
AY501254,B
AY501270,B
AY501289,B
AY501311,B
AY501314,B
AY501315,B
AY501317,B
AY501320,B
AY505002,C
AY505005,C
AY505006,C
AY505010,B
AY505011,B
AY510057,C
AY510058,C
AY510059,C
AY510060,C
AY510061,C
AY510062,C
AY510063,C
AY510064,C
AY510065,C
AY510066,C
AY522721,C
AY522722,C
AY522723,C
AY522724,C
AY522725,C
AY522726,C
AY522727,C
AY522728,C
AY522729,C
AY522730,C
AY522731,C
AY522732,C
AY522733,C
AY522734,C
AY522735,C
AY522736,C
AY524180,B
AY525444,B
AY525448,B
AY525455,B
AY525461,B
AY525465,B
AY525469,B
AY525471,B
AY525475,B
AY525479,B
AY525482,B
AY525487,B
AY525489,B
AY525491,B
AY525500,B
AY525502,B
AY525845,C
AY525846,C
AY525847,C
AY525848,C
AY525849,C
AY525850,C
AY525851,C
AY525852,C
AY525853,C
AY525854,C
AY525855,C
AY525856,C
AY525857,C
AY525858,C
AY525859,C
AY525860,C
AY525861,C
AY525863,C
AY525864,C
AY525865,C
AY525866,C
AY525867,C
AY525868,C
AY525870,C
AY525871,C
AY525872,C
AY525873,C
AY525875,C
AY525876,C
AY525877,C
AY525878,C
AY525879,C
AY525880,C
AY525881,C
AY525882,C
AY525883,C
AY525884,C
AY525885,C
AY525886,C
AY525887,C
AY525888,C
AY525889,C
AY525890,C
AY525891,C
AY525892,C
AY525893,C
AY525894,C
AY525895,C
AY525896,C
AY525897,C
AY525898,C
AY525899,C
AY525900,C
AY525901,C
AY525902,C
AY525903,C
AY525905,C
AY525906,C
AY525907,C
AY525908,C
AY525909,C
AY525910,C
AY525911,C
AY525912,C
AY525913,C
AY525914,C
AY525915,C
AY525916,C
AY525917,C
AY525919,C
AY525920,C
AY525921,C
AY525922,C
AY525923,C
AY525924,C
AY525925,C
AY525926,C
AY525927,C
AY525929,C
AY525930,C
AY525931,C
AY525932,C
AY525933,C
AY525934,C
AY525935,C
AY525936,C
AY525937,C
AY525939,C
AY525940,C
AY525941,C
AY525942,C
AY525943,C
AY525944,C
AY525945,C
AY525946,C
AY525947,C
AY525948,C
AY525949,C
AY525950,C
AY525951,C
AY525952,C
AY529659,C
AY529661,C
AY529662,C
AY529665,C
AY529666,C
AY529667,C
AY529670,C
AY529672,C
AY529675,C
AY529676,C
AY529677,C
AY529678,C
AY529679,C
AY543641,B
AY549006,B
AY549051,B
AY549087,B
AY549124,B
AY549913,B
AY549926,B
AY560107,B
AY560108,B
AY560109,B
AY560110,B
AY561236,B
AY561237,B
AY561238,B
AY561239,B
AY561240,B
AY561242,B
AY561245,B
AY563169,C
AY563170,C
AY567495,C
AY567496,C
AY567497,C
AY567498,C
AY567499,C
AY567501,C
AY567503,C
AY567504,C
AY567506,C
AY567507,C
AY567508,C
AY567509,C
AY567510,C
AY567511,C
AY567512,C
AY567513,C
AY567514,C
AY567515,C
AY567516,C
AY567517,C
AY567518,C
AY567519,C
AY567520,C
AY567521,C
AY567522,C
AY567523,C
AY567524,C
AY567525,C
AY567526,C
AY567527,C
AY567528,C
AY567529,C
AY567532,C
AY567533,C
AY567534,C
AY567535,C
AY567536,C
AY567537,C
AY567538,C
AY567539,C
AY569556,B
AY570015,B
AY570017,B
AY579433,B
AY579442,B
AY585264,C
AY585265,C
AY585266,C
AY585267,C
AY585268,C
AY585285,C
AY585286,C
AY585288,C
AY585290,C
AY585291,C
AY585292,C
AY585294,C
AY585295,C
AY585299,C
AY585300,C
AY585301,C
AY585303,C
AY585304,C
AY585306,C
AY597284,B
AY597285,B
AY597287,C
AY597289,B
AY597291,B
AY597292,B
AY597297,B
AY597298,B
AY597299,B
AY597300,B
AY597301,B
AY597303,B
AY597310,B
AY597312,B
AY597313,B
AY597315,B
AY597316,C
AY597317,B
AY597320,B
AY597323,C
AY597324,B
AY597326,B
AY597327,B
AY597328,B
AY597329,B
AY597330,B
AY597331,B
AY597332,B
AY601922,B
AY601943,B
AY601963,B
AY601983,B
AY602003,B
AY602023,B
AY602043,B
AY602064,B
AY602084,B
AY602104,B
AY602124,B
AY608576,B
AY612855,B
AY614758,B
AY614844,B
AY614894,B
AY614978,B
AY615018,B
AY621091,B
AY621092,B
AY621433,C
AY621434,B
AY621435,C
AY621436,C
AY621438,C
AY621440,C
AY621441,C
AY621442,C
AY621444,C
AY621445,C
AY623936,B
AY623937,B
AY623938,B
AY623939,B
AY623940,B
AY623941,B
AY623942,B
AY623943,B
AY623944,B
AY623945,B
AY623946,B
AY623947,B
AY623948,B
AY623949,B
AY623950,B
AY623951,B
AY623952,B
AY623953,B
AY623954,B
AY623955,B
AY623956,B
AY623957,B
AY623958,B
AY623959,B
AY623960,B
AY623961,B
AY623962,B
AY623963,B
AY623964,B
AY623965,B
AY623966,B
AY623967,B
AY623968,B
AY623969,B
AY623970,B
AY623971,B
AY623972,B
AY623973,B
AY623974,B
AY623975,B
AY623976,B
AY623977,B
AY623978,B
AY623979,B
AY623980,B
AY623981,B
AY623982,B
AY623983,B
AY623984,B
AY623985,B
AY623986,B
AY623987,B
AY623988,B
AY623989,B
AY623990,B
AY623991,B
AY623992,B
AY623993,B
AY623994,B
AY624304,B
AY624587,B
AY624588,B
AY624589,B
AY624590,B
AY624591,B
AY624592,B
AY624593,B
AY624594,B
AY624595,B
AY624596,B
AY624597,B
AY624598,B
AY624599,B
AY624600,B
AY624601,B
AY626150,B
AY626151,B
AY626152,B
AY626153,B
AY626154,B
AY626155,B
AY653043,C
AY653044,C
AY653045,C
AY653046,C
AY653047,C
AY653048,C
AY653049,C
AY653050,C
AY653051,C
AY653052,C
AY653054,C
AY653055,C
AY653056,C
AY653057,C
AY653058,C
AY653059,C
AY653060,C
AY653061,C
AY653062,C
AY653063,C
AY653064,C
AY653065,C
AY653066,C
AY653067,C
AY653068,C
AY653069,B
AY653070,B
AY653071,C
AY653633,B
AY653657,B
AY653691,B
AY656440,B
AY660112,B
AY660209,B
AY660384,B
AY665479,C
AY665488,C
AY665506,C
AY669707,B
AY669709,B
AY669711,B
AY669712,B
AY669713,B
AY669714,B
AY669717,B
AY669718,B
AY669719,B
AY669720,B
AY669721,B
AY669724,B
AY669725,B
AY669727,B
AY669729,B
AY669731,B
AY669733,B
AY669737,B
AY669739,C
AY669749,C
AY675592,C
AY675606,C
AY675608,C
AY676574,B
AY676576,C
AY682547,B
AY684935,C
AY685929,B
AY685952,B
AY685971,B
AY685990,B
AY686021,B
AY686502,B
AY686505,B
AY686506,B
AY686508,B
AY686509,B
AY686510,B
AY686511,B
AY686512,B
AY686513,B
AY686515,B
AY686516,B
AY686517,B
AY686518,B
AY686519,B
AY686520,B
AY686521,B
AY686522,B
AY686523,B
AY686525,B
AY686528,B
AY686529,B
AY686531,B
AY687727,B
AY687728,B
AY687729,B
AY687730,B
AY687731,B
AY687733,B
AY687734,B
AY687735,B
AY687736,B
AY687737,B
AY687738,B
AY687739,B
AY687740,B
AY687741,B
AY693912,B
AY693923,B
AY693924,B
AY693932,B
AY693941,B
AY693952,B
AY693962,B
AY693966,C
AY703908,C
AY703909,C
AY703910,C
AY703911,C
AY705550,C
AY705643,C
AY713408,B
AY713410,B
AY713412,B
AY713413,C
AY713414,C
AY713415,C
AY713416,C
AY713417,C
AY727522,C
AY727523,C
AY727524,C
AY727525,C
AY734550,C
AY734551,C
AY734556,C
AY734558,C
AY734559,C
AY734560,C
AY736823,C
AY751406,B
AY751407,B
AY762663,B
AY762664,B
AY762665,B
AY762666,B
AY762667,B
AY762668,B
AY762669,B
AY762670,B
AY762671,B
AY762672,B
AY762673,B
AY762674,B
AY762675,B
AY762676,B
AY766075,C
AY766076,C
AY766077,B
AY769183,B
AY771703,B
AY772690,C
AY772691,C
AY772692,C
AY772693,C
AY772694,C
AY772695,C
AY772696,C
AY772697,C
AY772698,C
AY772699,C
AY772700,C
AY772701,C
AY775283,C
AY779550,B
AY779553,B
AY779557,B
AY781126,B
AY781127,B
AY786499,B
AY795904,B
AY795905,B
AY795906,C
AY818644,B
AY819715,B
AY821310,C
AY822651,B
AY822652,B
AY822653,B
AY823998,B
AY824037,B
AY824075,B
AY824096,B
AY824138,B
AY824152,B
AY824180,B
AY824231,B
AY824250,B
AY824291,B
AY824329,B
AY824345,B
AY824378,B
AY824410,B
AY824431,B
AY824450,B
AY824472,B
AY824500,B
AY824558,B
AY824593,B
AY824621,B
AY824644,B
AY824682,B
AY824718,B
AY824740,B
AY824775,B
AY824807,B
AY824828,B
AY824863,B
AY824903,B
AY828839,B
AY828843,B
AY828844,B
AY828846,B
AY828847,B
AY828849,B
AY828852,B
AY828854,B
AY828855,B
AY828856,B
AY828858,B
AY828859,B
AY828860,B
AY828862,B
AY828863,B
AY828864,B
AY828865,B
AY828866,B
AY828867,B
AY828868,B
AY828869,B
AY828870,B
AY828871,B
AY828873,B
AY828874,B
AY828875,B
AY828876,B
AY828877,B
AY828879,B
AY828881,B
AY828883,B
AY828884,B
AY828886,B
AY828887,B
AY828888,B
AY828889,B
AY828890,B
AY828891,B
AY828893,B
AY828894,B
AY828895,B
AY828896,B
AY828898,B
AY828899,B
AY828900,B
AY828901,B
AY828903,B
AY828904,B
AY828905,B
AY828909,B
AY828910,B
AY828911,B
AY828913,B
AY828914,B
AY828916,B
AY828918,B
AY828921,B
AY828922,B
AY828924,B
AY828925,B
AY828926,B
AY828927,B
AY828930,B
AY828932,B
AY828933,B
AY828934,B
AY828935,B
AY828939,B
AY828940,B
AY828945,B
AY835436,B
AY835437,B
AY835438,B
AY835447,B
AY835448,B
AY835449,B
AY835450,B
AY835451,B
AY835452,B
AY835748,B
AY835753,B
AY835754,B
AY835755,B
AY835757,B
AY835759,B
AY835762,B
AY835766,B
AY835769,B
AY835770,B
AY835774,B
AY835777,B
AY835779,B
AY841832,B
AY841833,B
AY841834,B
AY841835,B
AY841836,B
AY841837,B
AY841838,B
AY841839,B
AY841840,B
AY841841,B
AY841842,B
AY841843,B
AY841844,B
AY841845,B
AY841846,B
AY841847,B
AY841848,B
AY841849,B
AY841850,B
AY841851,B
AY841852,B
AY841853,B
AY842786,B
AY842808,B
AY842824,B
AY850200,B
AY850218,B
AY856702,B
AY856703,B
AY856704,B
AY856705,B
AY856706,B
